0	0	49
1	0	40
2	0	37
3	0	33
4	0	43
5	0	53
6	0	31
7	0	19
8	0	40
9	0	30

0	1	30
1	1	13
2	1	7
3	1	20
4	1	0
5	1	17
6	1	35
7	1	25
8	1	6
9	1	13

0	2	35
1	2	16
2	2	14
3	2	10
4	2	31
5	2	36
6	2	43
7	2	45
8	2	48
9	2	50

0	3	11
1	3	51
2	3	17
3	3	42
4	3	25
5	3	31
6	3	10
7	3	0
8	3	21
9	3	16

0	4	48
1	4	27
2	4	26
3	4	53
4	4	36
5	4	32
6	4	28
7	4	41
8	4	47
9	4	13

0	5	25
1	5	15
2	5	29
3	5	3
4	5	51
5	5	47
6	5	34
7	5	53
8	5	12
9	5	52

0	6	28
1	6	49
2	6	27
3	6	28
4	6	50
5	6	53
6	6	12
7	6	29
8	6	52
9	6	6

0	7	19
1	7	12
2	7	37
3	7	9
4	7	7
5	7	25
6	7	24
7	7	38
8	7	28
9	7	42

0	8	43
1	8	5
2	8	19
3	8	11
4	8	28
5	8	14
6	8	46
7	8	18
8	8	33
9	8	18

0	9	46
1	9	3
2	9	29
3	9	23
4	9	45
5	9	1
6	9	43
7	9	30
8	9	20
9	9	40

0	10	33
1	10	24
2	10	42
3	10	22
4	10	47
5	10	12
6	10	8
7	10	2
8	10	40
9	10	11

0	11	42
1	11	33
2	11	53
3	11	50
4	11	48
5	11	25
6	11	27
7	11	22
8	11	48
9	11	14

0	12	50
1	12	46
2	12	35
3	12	20
4	12	41
5	12	26
6	12	14
7	12	49
8	12	28
9	12	8

0	13	19
1	13	11
2	13	9
3	13	41
4	13	43
5	13	11
6	13	4
7	13	38
8	13	22
9	13	15

0	14	6
1	14	10
2	14	19
3	14	13
4	14	27
5	14	41
6	14	5
7	14	1
8	14	27
9	14	25

0	15	38
1	15	32
2	15	51
3	15	6
4	15	7
5	15	47
6	15	16
7	15	25
8	15	2
9	15	41

0	16	45
1	16	38
2	16	39
3	16	49
4	16	0
5	16	23
6	16	9
7	16	5
8	16	29
9	16	26

0	17	8
1	17	1
2	17	43
3	17	19
4	17	13
5	17	33
6	17	25
7	17	7
8	17	39
9	17	29

0	18	9
1	18	20
2	18	1
3	18	24
4	18	2
5	18	35
6	18	17
7	18	50
8	18	14
9	18	39

0	19	12
1	19	32
2	19	9
3	19	3
4	19	42
5	19	39
6	19	10
7	19	8
8	19	21
9	19	10

0	20	6
1	20	18
2	20	42
3	20	15
4	20	40
5	20	26
6	20	8
7	20	27
8	20	41
9	20	28

0	21	50
1	21	4
2	21	22
3	21	6
4	21	51
5	21	23
6	21	50
7	21	4
8	21	31
9	21	50

0	22	44
